respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.41916342245132615,0.1301732063762448
26708,0.06437943276449806,0.021824817450606472
26709,0.5943465909978709,0.3598740212592243
26710,0.7951345555517791,0.4689506302420565
26711,0.6275053179037318,0.32354150722526287
26712,0.913688537062001,0.46950265379186323
26713,0.2691260618285092,0.234496989875477
26714,0.22729893081071426,0.12035014282709489
26715,0.12686042241420642,0.027498727248690825
26716,0.795429767178217,0.19626460489446954
26717,0.3706187286480591,0.025344053470793028
26718,0.5680356866027995,0.2782933242759154
26719,0.8766669602874791,0.10472000253371433
26720,0.27787671264401476,0.09206206185443207
26721,0.5114891475929418,0.2652666285819606
26722,0.06721921618388298,0.0390361671143799
26723,0.7080811690711253,0.5908017995965777
26724,0.5239939035271737,0.1330920766465181
26725,0.12235271206219792,0.05233893041370825
26726,0.1022675608222204,0.02083401016054861
26727,0.6241880537724086,0.2575253296356927
26728,0.5300102261261878,0.24449752190563687
26729,0.407248903938884,0.07965299988605978
26730,0.41538930963039133,0.07268979557153131
26731,0.1798790655021873,0.015969561880315862
26732,0.10230146772250118,0.13683292033174033
26733,0.9219043074134042,0.8829882518846761
26734,0.47934115576600095,0.8867217603359845
26735,0.45091999026467955,0.12893463119700924
26736,0.36890024886342704,0.11534437621966696
26737,0.13232174653270845,0.08208789086379768
26738,0.8262492734708411,0.6201064684182158
26739,0.2665140191258331,0.11635701111609657
26740,0.26333744840250134,0.20299268061267134
26741,0.8871661817122295,0.14810949079471972
26742,0.4587411964552608,0.15361840300689925
26743,0.34889515542720817,0.03384650344804547
26744,0.6331324605241255,0.07428340469304803
26745,0.8609049999104409,0.07757790275972924
26746,0.40698403586180093,0.11478917916092331
26747,0.3155659213768055,0.08048632877589419
26748,0.2355691858403264,0.18242436243517254
26749,0.766456507907478,0.086871862161519
26750,0.7905100502103788,0.5681472425742986
26751,0.6798574433280632,0.3427977745595484
26752,0.029784234549842782,0.030870751825066628
26753,0.48747675416900577,0.20798380959709103
26754,0.7285754515443879,0.12191546459361542
26755,0.2158589962252743,0.09059888558984755
26756,0.06589675292845107,0.02115961712824064
26757,0.6556655488188247,0.5105131649866366
26758,0.7701963048995214,0.558641552190583
26759,0.19263284974742648,0.04096407824519297
26760,0.039616148535915593,0.011613568375774807
26761,0.4398981310851782,0.13132636666771166
26762,0.6835069939272931,0.13112152859970858
26763,0.9743882128203868,0.8943268541719567
26764,0.955832998888409,0.9225262830630123
26765,0.7111974547453642,0.03534437543077709
26766,0.27349122672201126,0.18678512411182205
26767,0.8059221919480967,0.804749233766769
26768,0.6405824603043158,0.018108573206870718
26769,0.3024490848529251,0.1601547919144321
26770,0.6643733158079466,0.1180453297802328
26771,0.1176763401127474,0.062256751428169
26772,0.5201024278312539,0.1219645093912044
26773,0.5722623397552998,0.01967179569737692
26774,0.45713860496987213,0.023859910255504654
26775,0.5377959284483527,0.12441988482924433
26776,0.5287147463908047,0.45719399456826565
26777,0.889827764826476,0.13185404750237406
26778,0.12134828163692353,0.058484650621388926
26779,0.6692607370744424,0.15663746964713038
26780,0.919118144043599,0.14009784553151824
26781,0.19461183511127014,0.03308999628642372
26782,0.38628015862621246,0.06611093764034409
26783,0.3194953942155157,0.059110770380821735
26784,0.8737154916841546,0.3585363761389676
26785,0.6353974661845958,0.3559395605671367
26786,0.2589260090859586,0.12958124972499108
26787,0.29980871550376265,0.07879954540859381
26788,0.8526515048036224,0.1016111295998925
26789,0.38326456606746145,0.017967520789606648
26790,0.2464748418622442,0.05337652060883045
26791,0.08391494422047915,0.023052564525568267
26792,0.8158835018932008,0.25793883141918966
26793,0.8443572581818206,0.11619896856572591
26794,0.92494000591137,0.7835958936268528
26795,0.9511788577879314,0.05955366573041919
26796,0.07939319625531634,0.06816304085117411
26797,0.7489290080963047,0.11877915620713075
26798,0.1956459060806063,0.24374785519130368
26799,0.3679872886791338,0.27571470969702383
26800,0.9020123228726269,0.044116820025525944
26801,0.3678205495995836,0.2111016665776188
